NAME 100_7
N_CUSTOMERS 100
N_STATIONS 1
N_VEHICLES 30
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 8
NODES
0 d 0.000000 80.000000
1 c -25.060000 3.240000
2 c 19.210000 -3.660000
3 c -9.640000 -4.470000
4 c -24.090000 3.020000
5 c -2.960000 -3.460000
6 c -8.130000 -8.800000
7 c -27.640000 4.870000
8 c -11.920000 -2.190000
9 c 24.690000 -3.160000
10 c 23.260000 0.270000
11 c 1.560000 -9.300000
12 c -11.970000 -3.920000
13 c 16.890000 -1.150000
14 c -11.610000 -0.190000
15 c -22.480000 -4.570000
16 c 8.660000 -2.970000
17 c 18.110000 -2.160000
18 c -11.840000 -2.740000
19 c 3.590000 -0.420000
20 c 10.950000 -5.860000
21 c -0.360000 -2.340000
22 c -1.710000 -6.120000
23 c -27.740000 -4.090000
24 c -29.500000 4.520000
25 c 27.060000 4.100000
26 c -12.520000 -7.950000
27 c -19.630000 5.000000
28 c 0.740000 -5.800000
29 c 10.590000 -3.510000
30 c -23.000000 -9.100000
31 c -25.130000 -5.610000
32 c -21.990000 5.610000
33 c -19.340000 3.530000
34 c 3.520000 1.390000
35 c -14.860000 0.200000
36 c -9.580000 -6.920000
37 c -20.680000 -3.580000
38 c -10.510000 -2.550000
39 c -25.560000 -4.680000
40 c 2.740000 -1.140000
41 c -24.700000 8.410000
42 c -29.810000 -0.920000
43 c -3.240000 -5.160000
44 c 24.390000 6.900000
45 c 5.210000 -0.450000
46 c 16.110000 0.090000
47 c -28.830000 -4.000000
48 c -29.650000 5.800000
49 c 21.670000 -7.180000
50 c 5.850000 -3.780000
51 c 27.070000 -0.870000
52 c 14.190000 1.050000
53 c 10.070000 -7.130000
54 c -15.450000 0.330000
55 c 23.660000 7.430000
56 c -8.210000 2.170000
57 c -24.970000 4.830000
58 c 0.390000 -9.470000
59 c 7.450000 -4.360000
60 c -4.520000 -0.230000
61 c -1.460000 -4.560000
62 c 0.420000 -2.860000
63 c 27.130000 -5.900000
64 c -9.830000 -7.700000
65 c -5.560000 0.210000
66 c 24.580000 -1.380000
67 c -26.330000 1.670000
68 c -10.530000 -8.600000
69 c -13.430000 -2.160000
70 c 0.840000 -4.220000
71 c 0.870000 -9.340000
72 c -9.330000 -4.230000
73 c 1.080000 -6.420000
74 c 19.050000 -2.350000
75 c 29.970000 3.700000
76 c -27.650000 6.820000
77 c -26.200000 2.960000
78 c 20.950000 3.720000
79 c -29.860000 5.290000
80 c -29.700000 3.090000
81 c -11.640000 -3.540000
82 c -25.250000 6.380000
83 c -16.050000 -4.370000
84 c 21.990000 -4.900000
85 c 8.150000 -8.600000
86 c 13.620000 2.430000
87 c -1.500000 0.020000
88 c 13.190000 -8.780000
89 c 21.430000 -1.830000
90 c 2.050000 -7.550000
91 c 20.230000 3.550000
92 c 20.110000 -4.020000
93 c -11.410000 -3.190000
94 c -11.180000 -2.100000
95 c -13.450000 -1.490000
96 c -6.870000 -3.050000
97 c -7.110000 -5.350000
98 c 19.600000 -0.050000
99 c 20.540000 -1.000000
100 c -11.930000 -2.490000
101 f 0.000000 0.000000
EOF
