NAME 25_2
N_CUSTOMERS 25
N_STATIONS 1
N_VEHICLES 7
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 2
NODES
0 d 0.000000 80.000000
1 c -4.330000 -2.100000
2 c -0.870000 -6.640000
3 c -5.510000 -9.240000
4 c -14.910000 -8.030000
5 c 25.410000 -2.810000
6 c 9.710000 -7.180000
7 c 3.830000 -2.720000
8 c 10.030000 -3.910000
9 c 12.880000 -8.360000
10 c -5.810000 -1.750000
11 c -11.780000 -5.280000
12 c -5.630000 -7.810000
13 c -13.640000 -6.330000
14 c -17.620000 -5.160000
15 c 2.570000 -7.580000
16 c -1.290000 -8.430000
17 c 27.520000 -2.410000
18 c 25.950000 -1.640000
19 c 29.810000 -1.790000
20 c 5.030000 -8.490000
21 c 5.350000 -6.400000
22 c -4.310000 -0.540000
23 c -5.530000 -4.710000
24 c 4.230000 -3.970000
25 c 2.450000 -5.310000
26 f 0.000000 0.000000
EOF
