NAME 50_4
N_CUSTOMERS 50
N_STATIONS 1
N_VEHICLES 13
Q 32    R 0.2    DMAX 160
SPEED 40    TMAX 7.5    PSTART 0
SERVICE 0.5    REFUEL 0.5
CAP 3
NODES
0 d 0.000000 80.000000
1 c 26.530000 -0.900000
2 c -25.240000 2.420000
3 c -11.480000 -3.980000
4 c -2.010000 -7.780000
5 c 11.300000 -8.940000
6 c 4.120000 -0.580000
7 c 3.900000 0.020000
8 c 3.860000 -7.670000
9 c -14.150000 -3.500000
10 c -8.160000 -5.850000
11 c -17.570000 0.260000
12 c -6.710000 -0.230000
13 c -19.530000 -0.090000
14 c -3.150000 -7.420000
15 c -4.060000 -6.100000
16 c -6.600000 -9.320000
17 c 25.430000 1.920000
18 c 23.020000 -3.240000
19 c -7.490000 3.460000
20 c -6.320000 -2.700000
21 c -18.110000 1.310000
22 c -2.680000 -7.570000
23 c 27.920000 0.590000
24 c 2.150000 -3.570000
25 c 6.790000 -0.420000
26 c -11.170000 -3.070000
27 c -23.180000 4.000000
28 c -23.750000 4.130000
29 c -20.300000 1.390000
30 c -29.500000 1.530000
31 c 8.080000 -3.600000
32 c 0.700000 1.860000
33 c -18.070000 2.560000
34 c -5.360000 4.360000
35 c -16.680000 -5.150000
36 c 10.800000 -9.320000
37 c -15.930000 -1.130000
38 c -12.700000 -5.590000
39 c -22.190000 -2.850000
40 c -7.100000 -5.330000
41 c 9.180000 -6.410000
42 c 2.220000 -8.510000
43 c -15.170000 -4.650000
44 c 7.130000 -4.270000
45 c -20.230000 2.650000
46 c 2.600000 -6.330000
47 c 2.060000 2.640000
48 c -9.860000 -8.600000
49 c 10.780000 -4.930000
50 c -0.360000 0.120000
51 f 0.000000 0.000000
EOF
